×.1,Defending type,Defending type.1,Defending type.2,Defending type.3,Defending type.4,Defending type.5,Defending type.6,Defending type.7,Defending type.8,Defending type.9,Defending type.10,Defending type.11,Defending type.12,Defending type.13,Defending type.14,Defending type.15,Defending type.16,Defending type.17
×,Normal,Fighting,Flying,Poison,Ground,Rock,Bug,Ghost,Steel,Fire,Water,Grass,Electric,Psychic,Ice,Dragon,Dark,Fairy
Normal,1×,1×,1×,1×,1×,½×,1×,0×,½×,1×,1×,1×,1×,1×,1×,1×,1×,1×
Fighting,2×,1×,½×,½×,1×,2×,½×,0×,2×,1×,1×,1×,1×,½×,2×,1×,2×,½×
Flying,1×,2×,1×,1×,1×,½×,2×,1×,½×,1×,1×,2×,½×,1×,1×,1×,1×,1×
Poison,1×,1×,1×,½×,½×,½×,1×,½×,0×,1×,1×,2×,1×,1×,1×,1×,1×,2×
Ground,1×,1×,0×,2×,1×,2×,½×,1×,2×,2×,1×,½×,2×,1×,1×,1×,1×,1×
Rock,1×,½×,2×,1×,½×,1×,2×,1×,½×,2×,1×,1×,1×,1×,2×,1×,1×,1×
Bug,1×,½×,½×,½×,1×,1×,1×,½×,½×,½×,1×,2×,1×,2×,1×,1×,2×,½×
Ghost,0×,1×,1×,1×,1×,1×,1×,2×,1×,1×,1×,1×,1×,2×,1×,1×,½×,1×
Steel,1×,1×,1×,1×,1×,2×,1×,1×,½×,½×,½×,1×,½×,1×,2×,1×,1×,2×
Fire,1×,1×,1×,1×,1×,½×,2×,1×,2×,½×,½×,2×,1×,1×,2×,½×,1×,1×
Water,1×,1×,1×,1×,2×,2×,1×,1×,1×,2×,½×,½×,1×,1×,1×,½×,1×,1×
Grass,1×,1×,½×,½×,2×,2×,½×,1×,½×,½×,2×,½×,1×,1×,1×,½×,1×,1×
Electric,1×,1×,2×,1×,0×,1×,1×,1×,1×,1×,2×,½×,½×,1×,1×,½×,1×,1×
Psychic,1×,2×,1×,2×,1×,1×,1×,1×,½×,1×,1×,1×,1×,½×,1×,1×,0×,1×
Ice,1×,1×,2×,1×,2×,1×,1×,1×,½×,½×,½×,2×,1×,1×,½×,2×,1×,1×
Dragon,1×,1×,1×,1×,1×,1×,1×,1×,½×,1×,1×,1×,1×,1×,1×,2×,1×,0×
Dark,1×,½×,1×,1×,1×,1×,1×,2×,1×,1×,1×,1×,1×,2×,1×,1×,½×,½×
Fairy,1×,2×,1×,½×,1×,1×,1×,1×,½×,½×,1×,1×,1×,1×,1×,2×,2×,1×
These matchups are suitable for Generation VI onward.,These matchups are suitable for Generation VI onward.,These matchups are suitable for Generation VI onward.,These matchups are suitable for Generation VI onward.,These matchups are suitable for Generation VI onward.,These matchups are suitable for Generation VI onward.,These matchups are suitable for Generation VI onward.,These matchups are suitable for Generation VI onward.,These matchups are suitable for Generation VI onward.,These matchups are suitable for Generation VI onward.,These matchups are suitable for Generation VI onward.,These matchups are suitable for Generation VI onward.,These matchups are suitable for Generation VI onward.,These matchups are suitable for Generation VI onward.,These matchups are suitable for Generation VI onward.,These matchups are suitable for Generation VI onward.,These matchups are suitable for Generation VI onward.,These matchups are suitable for Generation VI onward.,These matchups are suitable for Generation VI onward.
